groupId,artifactId,version,classifier,included-log4j-core-version,source
be.personify.iam,personify-api,1.1.0.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.2.0.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.1.5.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.2.1.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-provisioning,1.2.2.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.1.0.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.2.1.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.1.1.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-provisioning,1.2.1.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.2.3.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.1.5.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.1.1.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.2.2.RELEASE,,2.12.1,directDependency
be.sysa.log-sanitizer,log-sanitizer-log4j2,1.0.6,,2.14.0,directDependency
be.sysa.log-sanitizer,log-sanitizer-log4j2,2.0.1,,2.14.0,directDependency
br.com.anteros,Anteros-Core,1.3.6,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.7,,2.12.1,directDependency
br.com.anteros,Anteros-RSQL,1.0.0,,2.13.3,directDependency
br.com.anteros,Anteros-Core,1.3.4,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.3.0,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.6,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.8,,2.12.1,directDependency
br.com.anteros,Anteros-Collections,1.0.1,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.4,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.9,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.2,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.3.5,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.3.3,,2.12.1,directDependency
br.com.anteros,Anteros-Core,1.2.3,,2.12.1,directDependency
br.com.ppm,ppm-logging,1.0.1,,2.14.1,directDependency
br.eti.clairton,repository,3.1.0,,2.1,directDependency
br.gov.lexml,lexml-renderer-docx,1.0.30,,2.13.2,directDependency
br.gov.lexml,lexml-renderer-docx,1.0.29,,2.13.2,directDependency
br.gov.lexml,lexml-renderer-scala,1.1.2,,2.11.1,directDependency
br.gov.lexml.parser.pl,lexml-parser-projeto-lei,1.13.3,,2.11.1,directDependency
br.gov.lexml.parser.pl,lexml-parser-projeto-lei,1.13.4,,2.11.1,directDependency
br.gov.lexml.parser.pl,lexml-parser-projeto-lei,1.13.6,,2.11.1,directDependency
br.gov.lexml.parser.pl,lexml-parser-projeto-lei,1.13.2,,2.11.1,directDependency
ca.bitcoco,jsk-starter,0.2.3,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.2.4,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.5,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.1,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.2,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.9,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.4,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.3,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.6,,2.14.0,directDependency
